nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT00001876,Lung Disease Associated With Rheumatoid Arthritis,Pulmonary Fibrosis Associated With Rheumatoid Arthritis: Definition of the Natural History of Disease,OBSERVATIONAL,,COMPLETED,1999-04-05,2007-12-11,Pulmonary Fibrosis,,National Human Genome Research Institute (NHGRI),PF-ILD,https://clinicaltrials.gov/study/NCT00001876
NCT00001884,Specimen Collection for Individuals With Lung Disease Associated With Rheumatoid Arthritis,Specimen Procurement for Individuals With Pulmonary Fibrosis Associated With Rheumatoid Arthritis,OBSERVATIONAL,,COMPLETED,1999-03-21,2007-12-28,Pulmonary Fibrosis; Rheumatoid Arthritis,,"National Heart, Lung, and Blood Institute (NHLBI)",PF-ILD,https://clinicaltrials.gov/study/NCT00001884
NCT00001885,Identification of Genes Associated With Lung Disease in Patients With Rheumatoid Arthritis,Pulmonary Fibrosis Associated With Rheumatoid Arthritis: Identification of Genetic Polymorphisms,OBSERVATIONAL,,COMPLETED,1999-03-21,2007-12-28,Healthy; Pulmonary Fibrosis; Rheumatoid Arthritis,,"National Heart, Lung, and Blood Institute (NHLBI)",PF-ILD,https://clinicaltrials.gov/study/NCT00001885
NCT00080223,Safety Study of Oral Pirfenidone in Patients With Pulmonary Fibrosis/Idiopathic Pulmonary Fibrosis,"An Open-Label, Phase 2 Study of the Safety of Oral Pirfenidone in Patients With Pulmonary Fibrosis/Idiopathic Pulmonary Fibrosis",INTERVENTIONAL,PHASE2,COMPLETED,2003-08-31,2015-04-30,Idiopathic Pulmonary Fibrosis; Pulmonary Fibrosis,DRUG: Pirfenidone,"Genentech, Inc.",PF-ILD,https://clinicaltrials.gov/study/NCT00080223
NCT00162760,Treatment of Idiopathic Pulmonary Fibrosis With Thalidomide,Treatment of Idiopathic Pulmonary Fibrosis With Thalidomide,INTERVENTIONAL,PHASE2,COMPLETED,2003-10,2007-07,Idiopathic Pulmonary Fibrosis (IPF),DRUG: Thalidomide,Johns Hopkins University,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT00162760
NCT00374322,Tykerb Evaluation After Chemotherapy (TEACH): Lapatinib Versus Placebo In Women With Early-Stage Breast Cancer,"A Randomized, Double-blind, Multicenter, Placebo-controlled Study of Adjuvant Lapatinib (GW572016) in Women With Early-Stage ErbB2 Overexpressing Breast Cancer",INTERVENTIONAL,PHASE3,COMPLETED,2006-08,2013-07,"Neoplasms, Breast",DRUG: lapatinib; OTHER: placebo,GlaxoSmithKline,PF-ILD,https://clinicaltrials.gov/study/NCT00374322
NCT00903175,Efficacy and Safety Comparison of RAD001 Versus Sunitinib in the First-line and Second-line Treatment of Patients With Metastatic Renal Cell Carcinoma,"An Open-label, Multicenter Phase II Study to Compare the Efficacy and Safety of RAD001 as First-line Followed by Second-line Sunitinib Versus Sunitinib as First-line Followed by Second-line RAD001 in the Treatment of Patients With Metastatic Renal Cell Carcinoma.",INTERVENTIONAL,PHASE2,COMPLETED,2009-10,2015-05,Renal Cell Carcinoma,DRUG: everolimus; DRUG: sunitinib,Novartis Pharmaceuticals,PF-ILD,https://clinicaltrials.gov/study/NCT00903175
NCT00965731,"Erlotinib Is Being Studied With Or Without An Investigational Drug, PF-02341066, In Patients With Lung Cancer","Phase 1/2, Open Label, Randomized Study Of The Safety, Efficacy, And Pharmacokinetics Of Erlotinib With Or Without Pf 02341066 In Patients With Advanced Non Small Cell Adenocarcinoma Of The Lung.",INTERVENTIONAL,PHASE1,COMPLETED,2010-01,2014-01,Non-Small Cell Lung Cancer,DRUG: Erlotinib; DRUG: Erlotinib; DRUG: PF-02341066,Pfizer,PF-ILD,https://clinicaltrials.gov/study/NCT00965731
NCT01653730,Comparative Study of 3 Portable Oxygen Concentrators During a 6-minute Walk Test in Patients With Chronic Lung Disease,A Comparative Pilot Study of the Efficacy of Three Portable Oxygen Concentrators During a 6-Minute Walk Test in Patients With Chronic Lung Disease,INTERVENTIONAL,NA,COMPLETED,2010-02,2010-08,Chronic Obstructive Lung Disease; Pulmonary Fibrosis,DEVICE: Eclipse 3 portable oxygen concentrator; DEVICE: EverGo portable oxygen concentrator; DEVICE: iGo portable oxygen concentrator,Ottawa Hospital Research Institute,PF-ILD,https://clinicaltrials.gov/study/NCT01653730
NCT01687946,Explorative Study on the Molecular Pathology of Lung Fibrosis by Combination of Clinical Assessment and System Biology,Pilot Investigation on the Combined Use of Established Clinical Criteria and Systems Biology for Progressive Pulmonary Fibrosis,OBSERVATIONAL,,COMPLETED,2010-06,2014-08,Pulmonary Fibrosis,,Medical University of Vienna,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT01687946
